title,image_url,ingredients,instructions,category
Najłatwiejsze wegańskie gofry,https://ervegan.com/wp-content/uploads/2022/08/weganskie-gofry-ervegan-blog-1.jpg,"['Składnikina około 6 sztuk:1 szklanka napoju roślinnego (sojowe, owsiane)1 łyżka octu/soku z cytryny1 łyżka oleju1 szklanka mąki pszennej1 łyżeczka proszku do pieczenia2 łyżki cukruodrobina oleju do natarcia gofrownicyWydrukuj przepis']","['1.\xa0Dobrze nagrzej gofrownicę i natrzyj ją odrobinką\xa0oleju.2.\xa0Składniki mokre wymieszaj w misce, dodaj potem wszystkie składniki suche. Wymieszaj trzepaczką, aż wszystko się\xa0połączy.3. Smaż przez kilka minut, aż bez problemu będą odchodzić od płyt gofrownicy i będą brązowo-rumiane. Podawaj z ulubionymi dodatkami i smacznego!']",Śniadania
Pieczona owsianka z czekoladą i daktylowym karmelem,http://ervegan.com/wp-content/uploads/2022/02/pieczona-owsianka-electrolux-ervegan-blog-1.jpg,"['Mleko migdałowe:½ szklanki migdałów2 szklanki wody', 'Składnikina 2 porcje owsianki:¾ szklanki płatków owsianych½ dojrzałego banana¼ szklanki pulpy migdałowej1 szczypta proszku do pieczenia1 łyżeczka cynamonu½ łyżeczki soliokoło ⅔ szklanki mleka migdałowegododatki: 2 łyżeczki daktylowego karmelu2 łyżeczki waniliowego budyniu2 kostki gorzkiej czekoladyWydrukuj przepis', '1.\xa0Piekarnik nagrzej do 180°C, najlepiej z funkcją termoobiegu. W misce wymieszaj: płatki owsiane, proszek do pieczenia, banan, pulpę migdałową i zalej mlekiem. Wszystko wymieszaj. Masa powinna być półpłynna.2. Do kokilki lub małych naczynek żaroodpornych (może być też forma na muffiny) nałóż owsianej masy do ½ ich wysokości. Dodaj kostkę czekolady, po łyżeczce budyniu i daktylowego karmelu. Przykryj resztą owsiankowej masy i wstaw do piekarnika na około 15–20 minut, aż wierzch zacznie się rumienić.3. Owsiankę\xa0zajadaj od razu – posypaną orzeszkami, z kleksem bitej śmietany lub dodatkową porcją budyniu i karmelu. Smacznego!']","['1.\xa0Przygotuj mleko migdałowe: namocz migdały we wrzątku przez kilka godzin lub przez całą noc w zimnej wodzie. Zmiksuj z wodą, przelej przez gęste sitko lub woreczek (np. taki do pakowania warzyw), odciśnij mocno nadmiar płynu. Pulpę zostaw, a mleko przelej do butelki.2. Tak przygotowane mleko możesz przechowywać do 2–3 dni w lodówce, a pulpę wysuszyć i zmielić na mąkę.3. Z podanej porcji migdałów przygotujesz mleko i pulpę na 4 mniejsze lub 2 większe owsianki. Ilość pulpy może jednak różnić się\xa0w zależności mocy blendera oraz odpowiednio mocnego odciśnięcia wody od fusów.', '1.\xa0Piekarnik nagrzej do 180°C, najlepiej z funkcją termoobiegu. W misce wymieszaj: płatki owsiane, proszek do pieczenia, banan, pulpę migdałową i zalej mlekiem. Wszystko wymieszaj. Masa powinna być półpłynna.2. Do kokilki lub małych naczynek żaroodpornych (może być też forma na muffiny) nałóż owsianej masy do ½ ich wysokości. Dodaj kostkę czekolady, po łyżeczce budyniu i daktylowego karmelu. Przykryj resztą owsiankowej masy i wstaw do piekarnika na około 15–20 minut, aż wierzch zacznie się rumienić.3. Owsiankę\xa0zajadaj od razu – posypaną orzeszkami, z kleksem bitej śmietany lub dodatkową porcją budyniu i karmelu. Smacznego!']",Śniadania
Wegański chlebek orzechowy,http://ervegan.com/wp-content/uploads/2022/01/chlebek-orzechowy-ervegan-3.jpg,"['Składnikina keksówki 22,5×11,5cm:2½ szklanki mąki pszennej (450–550)1½ szklanki mielonych orzechów (laskowych, migdałów, tartych włoskich)½–¾ szklanki cukru lub zamienników2 łyżeczki proszku do pieczenia1 łyżeczka sody oczyszczonej½ łyżeczki kardamonuszczypta soli1¼ szklanki mleka sojowego1 łyżka octu lub soku z cytryny¼ szklanki oleju rzepakowegoodrobina ekstraktu z waniliido podania:cieciorella,twarożek z nerkowców, czekolada,bita śmietanaWydrukuj przepis']","['1. Składniki suche wymieszaj w większej misce, a te mokre w mniejszej.Piekarnik nagrzej do 180°C, a foremkę wyłóż papierem do pieczenia. Gdy wszystko będzie gotowe – połącz składniki suche z mokrymi i wymieszaj do połączenia, nie za długo.2. Całość szybciutko przelej do keksówki i wstaw do piekarnika. Piecz około 45–50 minut, aż chlebek urośnie, ale patyczek w niego wetknięty, wyjdzie suchy.3. Odstaw do ostygnięcia i przygotuj ulubiony krem do podania. Gdy chlebek ostygnie, krój go nożem z piłką i zajadaj. Smacznego!']",Śniadania
Świąteczny smoothie z kruszonką,http://ervegan.com/wp-content/uploads/2019/12/ervegan-swiateczny-koktajl-1.jpg,"['Składnikina 2 porcje:1 zamrożony banangarść orzechów nerkowca1 szklanka mleka sojowego4 suszone daktylekawałek świeżego imbiru o długości 1 cm2 szczypty cynamonu2 szczypty zmielonego lub zmiażdżonego ziela angielskiego2 łyżki zmielonych płatków owsianych2 łyżki zmielonych orzechów ziemnychsól, pieprz do smakuWydrukuj przepis']",[],Śniadania
Kawowa granola,http://ervegan.com/wp-content/uploads/2019/11/ervegan-kawowa-granowa-coffeedesk-1.jpg,"['Składnikina jeden większy słoik, około 4 porcje:2 szklanki płatków owsianych1 szklanka bardzo mocnej kawy (około 4–5 podwójnych espresso)½ szklanki suszonych daktyli1 dojrzały banan2 łyżki oleju rzepakowegoulubione przyprawy: goździki, anyż, cynamon, kardamonsól, pieprzWydrukuj przepis']","['1. W małej misce ugnieć banana widelcem, dodaj posiekane daktyle, olej i przyprawy, a na koniec zalej wszystko letnią kawą i wymieszaj.2. Dodaj płatki owsiane i odstaw na 5 minut, aż napęcznieją.3. Piekarnik nagrzej do 180°C, a blachę wyłóż papierem do pieczenia. Masę przełóż na blachę\xa0i rozprowadź równomiernie widelcem. Piecz około 20 minut, najlepiej z funkcją termoobiegu, aż masa zamieni się w chrupiące kawałki granoli.4. Przełóż ją\xa0do słoika i przechowuj do 2 tygodni. Zajadaj z roślinnym mlekiem, jogurtem lub ot tak. Smacznego!']",Śniadania
Syrop dyniowy pumpkin spice,http://ervegan.com/wp-content/uploads/2019/11/syrop-dyniowy-pumpkin-spice-ervegan-1.jpg,"['Składnikina 1 butelkę/słoik 350-400ml:¾ szklanki gęstego mleka kokosowego1 szklankadyniowego purée¾ \xa0szklanki brązowego cukru lub odrobinę mniej\xa0zamienników (ksylitol, erytrytol)½ szklanki mleka sojowego lub migdałowego1½ łyżeczki mielonego cynamonu½ łyżeczki mielonej wanilii (lub 1 łyżeczka ekstraktu waniliowego)1 łyżeczka ziarenek anyżu½ łyżeczki mielonego ziela angielskiego (opcjonalnie)szczypta soliWydrukuj przepis']","['1.\xa0W rondelku rozgrzej mleko kokosowe, dodajcukier,dyniowe purée(upieczoną i zmiksowanądynię) oraz wszystkie przyprawy. Jeśliużywasz bardzo gęstego purée, dolej trochę mlekasojowego, żeby uzyskać płynną konsystencję.2. Całość potrzymaj kilkanaście minut na małymogniu, aż cukier się rozpuści, a płyn odrobinęzgęstnieje. Dopraw ponownie do smaku, nie zapominając o soli, która podbija sam wszystkich innych przypraw.3. Syrop przelej przez sito do średniej butelki, a gdyostygnie, szczelnie ją zamknij. Możesz go przechowywaćw lodówce przez kilka tygodni.']",Śniadania
Chrupiące krążki z jabłek,https://ervegan.com/wp-content/uploads/2019/08/chrupiace-krazki-z-jablek-ervegan-lidl-2.jpg,[],[],Śniadania
Cebulowa pasta z ciecierzycy i beta-glukan,http://ervegan.com/wp-content/uploads/2019/04/ervegan-cebulowa-pasta-putka-4.jpg,"['Składniki na około 1 słoik pasty:1½ szklanki ugotowanej ciecierzycy2 średnie białe cebule2 łyżeczki oleju rzepakowego lub oliwy z oliwek½ łyżeczki wędzonej papryki½ łyżeczki kuminu (opcjonalnie)2 duże szczypty pieprzusól do smakudodatki: suszone pomidory, słonecznik, pestki dynido podania: bułka, sałata, plaster tofu, ulubione warzywaWydrukuj przepis', '1. Cebulę posiekaj na pióra lub drobną kostkę\xa0i podsmaż na patelni, aż uzyskasz złoto-brązowy kolor. Dodaj kolejno ciecierzycę, dopraw papryką oraz pieprzem i podduś przez chwilę, aż ciecierzyca przejdzie aromatem cebuli oraz przypraw.2. Do ciecierzycy dodaj ulubione przyprawy i dodatki: posiekane suszone pomidory, ziarna słonecznika lub pestki dyni. Wszystko dokładnie wymieszaj i przełóż do naczynia blendera.3. Wszystkie składniki zmiksuj na pastę – na gładko lub pozostawiając niezmiksowane grudki dla ciekawszej konsystencji.4. Pasty używaj do codziennych kanapek z warzywami lub np. jako sos do burgerów. Smacznego!']","['1. Cebulę posiekaj na pióra lub drobną kostkę\xa0i podsmaż na patelni, aż uzyskasz złoto-brązowy kolor. Dodaj kolejno ciecierzycę, dopraw papryką oraz pieprzem i podduś przez chwilę, aż ciecierzyca przejdzie aromatem cebuli oraz przypraw.2. Do ciecierzycy dodaj ulubione przyprawy i dodatki: posiekane suszone pomidory, ziarna słonecznika lub pestki dyni. Wszystko dokładnie wymieszaj i przełóż do naczynia blendera.3. Wszystkie składniki zmiksuj na pastę – na gładko lub pozostawiając niezmiksowane grudki dla ciekawszej konsystencji.4. Pasty używaj do codziennych kanapek z warzywami lub np. jako sos do burgerów. Smacznego!']",Śniadania
Wiosenny smoothie bowl,http://ervegan.com/wp-content/uploads/2018/06/wiosenny-smoothie-bowl.jpg,"['Składnikina 2 porcje:2 garści jarmużu1\xa0świeży ogórek1 mały kawałek świeżego imbiru2 gruszki1 grejpfrut½ cytrynyszczypta pieprzu cayennewodadodatki: banany, truskawki, orzechy i nasionaWydrukuj przepis', '1. Wszystkie składniki na smoothie wydrąż z pestek, pozbądź się twardych części i zmiksuj w blenderze na gładziutki napój, dodając wody aż do uzyskania pożądanej konsystencji.2. Ulubione dodatki pokrój na małe plasterki lub w kostkę. Do miski nalej wcześniej zblendowany smoothie, a na jego wierzchu ułóż dodatki. Możesz zjeść taką miskę na śniadanie, ale również na mały lunch. Smacznego!']","['1. Wszystkie składniki na smoothie wydrąż z pestek, pozbądź się twardych części i zmiksuj w blenderze na gładziutki napój, dodając wody aż do uzyskania pożądanej konsystencji.2. Ulubione dodatki pokrój na małe plasterki lub w kostkę. Do miski nalej wcześniej zblendowany smoothie, a na jego wierzchu ułóż dodatki. Możesz zjeść taką miskę na śniadanie, ale również na mały lunch. Smacznego!']",Śniadania
Pełnoziarniste placuszki bananowe,http://ervegan.com/wp-content/uploads/2017/09/placuszki-owsiane-z-bananem-0642.jpg,"['Składnikina około 9 placuszków:1 szklanka płatków owsianych górskich1 banan⅓ szklanki mleka sojowego1 łyżeczka octu winnego lub jabłkowego (zwykły też będzie dobry)1–2 łyżki syropu klonowego, z agawy lub daktyli (opcjonalnie, zależnie od słodkich dodatków)1 łyżeczka proszku do pieczeniaszczypta mielonej wanilii lub odrobina ekstraktuulubione przyprawy: cynamon, gałka muszkatołowa, kardamon, anyżodrobina oleju rzepakowego do smażeniaszczypta soliWydrukuj przepis', '1. Suche składniki przesyp do wąskiego i wysokiego naczynia (słoik, naczynie blendera, ale też zwykła miska). Mleko sojowe możesz wymieszać z octem i syropem w małej misce, lecz nie jest to niezbędne.2. Składniki mokre wraz bananem dodaj do suchych i porządnie zmiksuj je ręcznym blenderem na wysokich obrotach. Ja użyłem do tego blendera BraunMQ9087z klasyczną nakładką blendującą.3. Zmiksowane ciasto rozkładaj łyżką na dobrze rozgrzanej patelni z odrobiną oleju i smaż 2–3 minuty z każdej ze stron na złoto-brązowy kolor. Placuszki podawaj z bananem, orzechami laskowymi i syropem daktylowym lub po prostu z ulubionymi dodatkami. Smacznego!']","['1. Suche składniki przesyp do wąskiego i wysokiego naczynia (słoik, naczynie blendera, ale też zwykła miska). Mleko sojowe możesz wymieszać z octem i syropem w małej misce, lecz nie jest to niezbędne.2. Składniki mokre wraz bananem dodaj do suchych i porządnie zmiksuj je ręcznym blenderem na wysokich obrotach. Ja użyłem do tego blendera BraunMQ9087z klasyczną nakładką blendującą.3. Zmiksowane ciasto rozkładaj łyżką na dobrze rozgrzanej patelni z odrobiną oleju i smaż 2–3 minuty z każdej ze stron na złoto-brązowy kolor. Placuszki podawaj z bananem, orzechami laskowymi i syropem daktylowym lub po prostu z ulubionymi dodatkami. Smacznego!']",Śniadania
