title,category,image_url,ingredients,instructions
Jogurtowy sernik,Śniadania,,,
Wegańskie pancakes doskonałe,Śniadania,,,
Ful z tahiną,Śniadania,,,
Postępowy sos pomidorowy,Śniadania,,,
Szybka meksykańska kukurydza,Śniadania,,,
"Tom kha, czyli zupa kokosowa",Śniadania,,,
"Tom kha, czyli zupa kokosowa",Śniadania,,,
Jogurtowy sernik,Śniadania,,,
Sok z marchwi i świeżej kurkumy,Śniadania,,,
Focaccia rewolucyjna,Śniadania,,,
Jogurtowy sernik,Śniadania,,,
"Tarator, wegański chłodnik z ogórków",Śniadania,,,
Jogurtowy sernik,Śniadania,,,
Czy warto jeść warzywa mrożone lub z puszki?,Śniadania,,,
Wegański Singapur 2,Śniadania,,,
Wegańskie pancakes doskonałe,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2019/09/IMG_9623_male-600x900.jpg,"1 1/2 szklanki mleka sojowego 1 łyżka octu; 4 łyżki oleju; 2 szklanki mąki pszennej 1 1/4 łyżeczki proszku do pieczenia 3/4 łyżeczki sody oczyszczonej szczypta soli; 4 łyżki aquafaby; 2 łyżki cukru pudru 1/2 łyżeczki mąki ziemniaczanej, opcjonalnie; do podania: syrop klonowy, syrop z agawy lub ulubiony słodki syrop","Mokre składniki: mleko roślinne połączyć z octem w szklance, zamieszać i zostawić. Postawić obok olej, żeby o nim nie zapomnieć.
Suche składniki: w misce wymieszać mąkę, proszek do pieczenia, sodę oraz sól.
Do drugiej miski wlać aquafabę i ubijać mikserem do momentu, aż będzie sztywna, gęsta i trwała, czyli około 5 – 7 minut. Po tym czasie dodać cukier puder, ubijać jeszcze minutę, a na koniec dodać mąkę ziemniaczaną i ubijać ostatnią minutę.
Do suchych składników dodać mokre składniki oraz olej. Wymieszać krótko łyżką, tak, aby składniki się połączyły ale wciąż były grudki. Dodać połowę aquafaby i delikatnie wymieszać, dodać resztę i tak samo wymieszać.
Rozgrzać suchą patelnię. Na patelnię wylać łyżką placuszki i smażyć na małym ogniu przez 2 – 3 minuty, do momentu, aż zrobią się złote i przewrócić łopatką na drugą stronę. Smażyć kolejne 1 – 2 minuty i podawać z syropem klonowym lub innym ulubionym. Naprawdę dobrze smakują na zimno."
Wegańskie pancakes doskonałe,Śniadania,,,
Wegańskie pancakes doskonałe,Śniadania,,,
